iter	Passed	Remaining
0	64	64718
1	75	37625
2	134	44555
3	190	47514
4	233	46503
5	292	48433
6	348	49479
7	401	49833
8	454	50065
9	506	50177
10	558	50257
11	608	50136
12	665	50529
13	715	50404
14	767	50397
15	817	50256
16	870	50330
17	923	50357
18	976	50426
19	1031	50526
20	1086	50671
21	1140	50680
22	1194	50759
23	1246	50687
24	1296	50578
25	1350	50597
26	1401	50503
27	1454	50488
28	1506	50451
29	1559	50418
30	1608	50276
31	1663	50310
32	1711	50164
33	1763	50116
34	1811	49951
35	1866	49975
36	1920	49988
37	1972	49932
38	2024	49877
39	2080	49936
40	2133	49901
41	2181	49752
42	2235	49763
43	2288	49714
44	2340	49668
45	2390	49567
46	2441	49513
47	2487	49344
48	2535	49209
49	2582	49073
50	2632	48993
51	2683	48926
52	2735	48883
53	2788	48845
54	2842	48842
55	2893	48783
56	2948	48777
57	3000	48725
58	3053	48700
59	3108	48696
60	3162	48675
61	3213	48613
62	3263	48531
63	3312	48438
64	3365	48408
65	3419	48396
66	3470	48323
67	3520	48246
68	3570	48182
69	3621	48118
70	3675	48097
71	3724	48007
72	3776	47954
73	3830	47936
74	3883	47890
75	3934	47835
76	3988	47809
77	4044	47812
78	4096	47760
79	4148	47708
80	4204	47701
81	4254	47631
82	4305	47571
83	4362	47576
84	4416	47540
85	4468	47487
86	4515	47381
87	4572	47387
88	4623	47321
89	4674	47267
90	4725	47201
91	4778	47157
92	4830	47106
93	4882	47059
94	4934	47003
95	4987	46961
96	5039	46909
97	5095	46895
98	5143	46807
99	5195	46760
100	5248	46720
101	5304	46701
102	5356	46644
103	5411	46621
104	5423	46229
105	5473	46163
106	5523	46097
107	5578	46071
108	5631	46032
109	5684	45989
110	5736	45939
111	5786	45880
112	5839	45835
113	5892	45799
114	5946	45761
115	5997	45704
116	6048	45650
117	6101	45603
118	6155	45574
119	6209	45534
120	6261	45485
121	6314	45445
122	6362	45361
123	6413	45304
124	6465	45259
125	6518	45218
126	6565	45129
127	6622	45116
128	6677	45086
129	6729	45038
130	6785	45014
131	6841	44989
132	6891	44925
133	6940	44854
134	6995	44825
135	7045	44762
136	7099	44723
137	7151	44667
138	7205	44631
139	7258	44590
140	7312	44551
141	7361	44479
142	7415	44440
143	7466	44384
144	7519	44337
145	7571	44285
146	7623	44237
147	7673	44171
148	7725	44123
149	7778	44078
150	7830	44024
151	7882	43975
152	7934	43925
153	7987	43879
154	8038	43820
155	8089	43765
156	8142	43719
157	8193	43663
158	8246	43616
159	8298	43569
160	8349	43513
161	8400	43456
162	8453	43407
163	8507	43366
164	8557	43305
165	8608	43251
166	8659	43195
167	8713	43153
168	8770	43126
169	8825	43088
170	8879	43047
171	8932	42998
172	8984	42947
173	9033	42881
174	9083	42824
175	9136	42776
176	9192	42742
177	9248	42707
178	9300	42659
179	9352	42605
180	9406	42563
181	9456	42503
